ONTOLOGY	TERM	N	DE	P.DE	FDR	SigGenesInSet
CC	extracellular region	4376	598	4.10296308620627e-10	9.41342820868305e-06	GNPDA1,INSL5,ABCB6,HUWE1,CDH15,ADGRG2,ANGPTL7,GDF11,GPA33,MSLN,AKR1A1,CLEC4M,IFI30,BAIAP2,CEACAM5,STK25,SEMA6B,FBLN5,CIB1,PROCR,AGR2,OLFM4,LEFTY1,ADCY1,CFL2,CGA,ALDH1L1,MTMR11,UTS2,SMPDL3A,PRSS23,INSL6,ADAMTS6,CHIT1,NXPH3,IL17F,MGAT4A,ACOT7,SCRG1,PGLYRP3,C1QTNF7,CMTM5,ACSM1,RLN3,RNASE11,RNASE8,CNTF,COL6A3,COL9A2,COL9A3,COL11A1,COL15A1,CPNE4,FAM3D,COMT,LYZL4,TMPRSS11B,CMBL,CPA2,CPB2,SSC4D,CPN1,CRP,BPIFA2,WFDC3,DEFB127,DEFB129,CRYAB,MUC15,DNHD1,A2ML1,CSN1S1,SERPINA12,IL34,CSTB,LYPD4,HJV,WFDC5,CTRB1,CTSG,CTSK,NEK10,PATE1,DNAAF4,LGI4,GBP6,DCN,FNDC7,ACE,DDC,DEFA5,PRSS35,OIT3,SPACA4,AGA,DMP1,DNM1,DNASE1L2,DPT,AGRP,DSG3,ECM2,ECH1,ECM1,KRT24,MEGF8,EGFR,KRT78,ANO6,FAM24B,A2M,LIPH,ENG,C9orf72,DIPK2A,EPS8,ALB,F12,FABP1,FAP,FAT2,FBLN2,CFAP53,SLC39A12,CPNE2,H2AC1,SCUBE3,FGB,FGF1,FGF2,FGF9,FGFR1,FGFR3,VEGFD,PEG10,FLT4,MTCL1,CRB1,CAPN7,QPRT,FOLR1,CES3,FOLR2,ARHGAP45,DDAH1,HEBP2,PYY2,PRND,PLD3,CEMIP2,ALK,ALOX12,CNPY4,IL27,FUT3,TMEM9,FNDC5,FUT8,KDSR,BPIFC,TMEM256,LRRC57,UTS2B,CFAP45,AMBN,TTLL1,GALNS,GALNT1,GALNT2,IL4I1,GAPDH,AOC1,FDCSP,LRRC32,TIAM2,OPTC,GC,KAT2A,IL36RN,OSTF1,GDF9,GGT1,GHRH,PABPC1,CYFIP2,SDCBP2,CYTH4,STK36,CHIA,IL37,AMPD3,SPINK4,ADAMDEC1,BMP10,ANGPTL3,TOR1B,GLUL,GNAL,GNAS,GNB1,GNRH1,GNS,GOT1,SFN,GP1BA,GP2,GPD1,GPLD1,CD163L1,SLC26A11,CXCL17,RSPO1,IGSF10,CRB2,GPT,GRN,COMMD9,PYCARD,GSN,GSTA3,GSTM4,NCAPH2,NENF,IL19,EFEMP2,GZMK,ANXA1,H2BC5,H3-3A,HBB,SERPIND1,ANXA4,PLA2G2E,CD209,ANXA11,ANXA13,HNMT,DNAJB1,HSPG2,APOA1,HYAL1,ICAM3,GLDN,KRT27,IFNA14,OSTN,APOC3,APOD,QRFP,APOE,IGF2,IGFALS,IGFBP3,APOH,IL1R1,IL1RN,IL2,IL5,AQP2,IL13,INHA,INHBA,INHBC,INS,INSR,ITGA2B,ITGAV,EIF6,ITIH1,ITIH4,B3GNT8,SVBP,VWC2,ARF4,ARF5,KISS1,KLK1,ARF6,KRT1,KRT2,KRT5,KRT6A,KRT7,KRT10,KRT19,KRT35,KRT83,KRT84,KRT86,TMPRSS11F,FAM180A,LAD1,LALBA,LAMB3,LAMP1,ARHGAP1,STMN1,LCAT,LCN1,LCN2,LEP,LGALS4,AMTN,LOX,HAPLN4,CD180,LY75,TACSTD2,MATN1,ARSL,ART3,MDH2,ART4,MEP1A,MEP1B,MFAP2,MFAP3,MMP1,MMP3,MMP8,MMP13,MMP16,MMP19,MNDA,MPST,MT3,MYH10,MYO1C,NEDD4,RPL10A,ATP1A3,NGF,NGFR,ATP1B1,NMB,NODAL,CCN3,NPPA,NPPB,ATP2B1,NRTN,RNASE12,ATP5F1A,CRNN,OVGP1,FURIN,IL22,IMPG2,SOST,SERPINA5,PCK1,PRLH,SCCPDH,PCMT1,CPA4,PCDH12,BPIFA1,THEM6,PRKAG2,CHMP5,VTA1,CYRIB,ENPP3,GPRC5B,CAB39,PDZK1,CALML5,ATP6V1B1,SLC25A3,SERPINB5,PIGR,PIK3C2A,PI4KA,PITPNA,PLA2G5,FXYD3,PLS1,PMCH,ATP6AP1,PMP2,PNLIP,FAM3B,UBL3,WNT4,GFOD1,PON2,ADAMTSL4,PPIC,CC2D1A,ODAM,PPP1CA,AUP1,LAMTOR1,TTC38,EPN3,ENOX1,THNSL2,PPY,SMPD3,PRG2,OTUB1,PRKAR2A,AXL,IL26,ADCY10,PRKCH,MYO5C,GNG12,PCDHGB5,PRLR,GKN1,PRPH,PRRG2,LGMN,PRSS3,CCL28,PRSS8,IFNK,PSMA7,BDH2,OTOR,SLC12A9,PSMC5,PSMD2,RAB25,CORO1B,PSME1,CEMIP,PTBP1,LRRC7,PTPRA,ACTA1,PTPRR,NECTIN1,CXCL16,OPRPN,DNASE2B,PZP,RAB3B,RAB4A,RAC3,PGAP6,ACE2,GNB4,RENBP,ACTB,RNASE1,NYX,BCR,RPL12,RPS11,RPS14,RS1,S100A1,S100A9,S100A13,S100P,CELA2A,CLEC11A,SCNN1G,CCL2,CCL7,CCL17,CCL19,CCL20,CCL25,CXCL11,CX3CL1,SELE,SEMG1,SEMG2,ELSPBP1,NPVF,XYLT1,IRF2BPL,SFRP4,SIL1,SFTPB,SGSH,SHBG,SHMT1,SPATA20,PMEL,SLC1A5,SLC2A1,BMP4,SLC4A1,PCDH15,SLC5A2,SLC12A3,SLC15A2,SPINK1,BPI,SPTBN1,SPTBN2,SRPRA,ST13,STAU1,STK11,SULT2B1,BST1,BTC,BTD,TALDO1,TARS1,TCN1,TDGF1,TFF1,TFPI,TG,TGFBI,THBS1,TIMP3,SERPING1,TNFAIP6,C1QC,C1S,C3,TRH,INS-IGF2,TST,C5,MUC5B,TULP2,C6,TXNRD1,UBA1,UBE2V2,VEGFB,VEGFC,VIL1,VTN,YWHAB,ZP3,SEMA3B,CAD,PRRG3,C1orf116,APOO,CRELD2,USB1,STEAP4,VPS37B,THSD4,PTGES2,CUBN,LPAL2,MFAP5,WNT5B,APOLD1,NECTIN4,KAZALD1,MIA,CAMP,CLTCL1,CAPG,CAPN1,CAPZA1,H3-4,CAPZB,SH3BGRL3,H3C6,H3C12,H3C2,H4C4,H4C2,FERMT3,HYAL3,INHBE,RAB34,BBOX1,RECK,CYSTM1,DUSP11,ACRBP,GNPTG,PLA2G12B,SPINK7,CRACR2A,CILP,ABHD14B,KLHL22,FIBCD1,LIPF,H2BC12,BCAS1,PPFIA3,FCN3,TNFSF11,NPFF,RFXANK,CHRD,EIF3B,SERPINB7,TNFSF14,TNFSF13,TNFSF12,CD164,MATN4,DLK1,SCEL,IQGAP1,CCN5,PROZ,SQSTM1,CPNE3,ACTN3,SERPINB12,TNFSF18,KALRN,ANGPTL1,CCDC126,CD1A,CD1B,CD1E,IL1RL1,NXPE3,C11orf52,CD5L,RBM18,ADGRG1,DMKN,PTER,CD163,RPL23,SLC22A6,CPNE6,KIF3B,SLC22A13,CD101,HTRA3,SYAP1,LY86,ADAMTS4,CD37,TMEM59,ENTPD2,CD44,TNFSF15,FGFBP1
CC	fibrinogen complex	8	2	0.19479451219812	1	FGB,THBS1
CC	membrane attack complex	7	2	0.187535568606443	1	C5,C6
CC	collagen trimer	86	10	0.596221154840808	1	C1QTNF7,COL6A3,COL9A2,COL9A3,COL11A1,COL15A1,GLDN,LOX,C1QC,FCN3
CC	collagen type XV trimer	1	1	0.127241207842537	1	COL15A1
CC	fibrillar collagen trimer	12	1	0.792523628959869	1	COL11A1
CC	collagen type I trimer	2	0	0.999999999996468	1	
CC	collagen type II trimer	1	0	0.999999999960749	1	
CC	collagen type III trimer	1	0	1.0000000000381	1	
CC	collagen type IV trimer	7	0	1	1	
CC	collagen type V trimer	4	0	1	1	
CC	collagen type VI trimer	2	1	0.238872107351468	1	COL6A3
CC	collagen type VII trimer	1	0	0.999999999968366	1	
CC	collagen type VIII trimer	1	0	1.00000000000271	1	
CC	collagen type XI trimer	5	1	0.490091599103183	1	COL11A1
CC	FACIT collagen trimer	6	2	0.170410149738867	1	COL9A2,COL9A3
CC	collagen type IX trimer	3	2	0.0440840660815216	1	COL9A2,COL9A3
CC	collagen type XII trimer	1	0	0.999999999986273	1	
CC	collagen type XIV trimer	1	0	0.999999999954076	1	
CC	collagen type XVI trimer	1	0	1.00000000000153	1	
CC	short-chain collagen trimer	2	0	1.00000000000535	1	
CC	collagen type X trimer	1	0	1.00000000001869	1	
CC	collagen type XIII trimer	1	0	0.9999999999719	1	
CC	classical-complement-pathway C3/C5 convertase complex	2	0	1.00000000001089	1	
CC	complement component C1 complex	3	1	0.314275674075741	1	C1QC
CC	basement membrane	99	13	0.43083354273361	1	COL9A3,COL15A1,ATRNL1,RELL2,EFEMP2,HSPG2,VWC2,LAD1,LAMB3,AMTN,TGFBI,TIMP3,VTN,ENTPD2
CC	laminin-1 complex	3	0	1	1	
CC	laminin-2 complex	2	0	0.999999999996471	1	
CC	laminin-3 complex	3	0	1	1	
CC	laminin-5 complex	3	1	0.33415805066887	1	LAMB3
CC	interstitial matrix	11	4	0.0335940219802984	1	ECM2,VWC2,ADAMTSL4,KAZALD1,NAV2
CC	extracellular space	3418	472	1.54734233870503e-08	0.000177503376384548	GNPDA1,ABCB6,HUWE1,CDH15,ADGRG2,ANGPTL7,GDF11,GPA33,MSLN,AKR1A1,BAIAP2,CEACAM5,STK25,SEMA6B,FBLN5,CIB1,PROCR,AGR2,OLFM4,LEFTY1,ADCY1,CFL2,CGA,ALDH1L1,MTMR11,UTS2,SMPDL3A,PRSS23,CHIT1,IL17F,MGAT4A,ACOT7,SCRG1,CMTM5,ACSM1,RNASE8,CNTF,COL6A3,COL9A2,COL9A3,COL11A1,COL15A1,CPNE4,FAM3D,COMT,LYZL4,TMPRSS11B,CMBL,CPA2,CPB2,CPN1,CRP,BPIFA2,WFDC3,CRYAB,DNHD1,A2ML1,CSN1S1,SERPINA12,IL34,CSTB,HJV,WFDC5,CTRB1,CTSG,CTSK,LGI4,GBP6,DCN,ACE,DDC,DEFA5,OIT3,AGA,DNM1,DPT,AGRP,DSG3,ECH1,ECM1,KRT24,MEGF8,EGFR,KRT78,ANO6,A2M,LIPH,ENG,C9orf72,DIPK2A,EPS8,ALB,F12,FABP1,FAP,FAT2,CPNE2,H2AC1,SCUBE3,FGB,FGF1,FGF2,FGF9,VEGFD,MTCL1,CAPN7,QPRT,FOLR1,CES3,DDAH1,HEBP2,PLD3,CEMIP2,ALK,ALOX12,IL27,FUT3,FUT8,KDSR,BPIFC,TMEM256,LRRC57,GALNS,GAPDH,AOC1,LRRC32,TIAM2,GC,KAT2A,IL36RN,GDF9,GGT1,GHRH,PABPC1,CYFIP2,SDCBP2,CHIA,IL37,BMP10,ANGPTL3,TOR1B,GLUL,GNAL,GNAS,GNB1,GNRH1,GNS,GOT1,SFN,GP1BA,GP2,GPD1,GPLD1,SLC26A11,CXCL17,CRB2,GPT,GRN,GSN,GSTA3,NENF,IL19,EFEMP2,ANXA1,H2BC5,H3-3A,HBB,SERPIND1,ANXA4,ANXA11,ANXA13,HNMT,DNAJB1,HSPG2,APOA1,HYAL1,ICAM3,GLDN,KRT27,IFNA14,OSTN,APOC3,APOD,APOE,IGF2,IGFALS,IGFBP3,APOH,IL1RN,IL2,IL5,AQP2,IL13,INHA,INHBA,INHBC,INS,INSR,ITGA2B,ITGAV,EIF6,ITIH1,ITIH4,B3GNT8,VWC2,ARF4,ARF5,KISS1,KLK1,ARF6,KRT1,KRT2,KRT5,KRT6A,KRT7,KRT10,KRT19,KRT35,KRT83,KRT84,KRT86,LAD1,LALBA,LAMP1,ARHGAP1,STMN1,LCAT,LCN1,LCN2,LEP,LGALS4,LOX,CD180,LY75,TACSTD2,ARSL,ART3,MDH2,MEP1A,MMP3,MMP8,MMP13,MMP19,MNDA,MPST,MT3,MYH10,MYO1C,NEDD4,RPL10A,NGF,ATP1B1,NMB,NODAL,NPPA,NPPB,ATP2B1,ATP5F1A,CRNN,FURIN,IL22,SOST,SERPINA5,PCK1,PCMT1,CPA4,PCDH12,BPIFA1,PRKAG2,CHMP5,VTA1,CYRIB,ENPP3,GPRC5B,CAB39,PDZK1,ATP6V1B1,SLC25A3,SERPINB5,PIGR,PIK3C2A,PI4KA,PITPNA,FXYD3,PLS1,ATP6AP1,PMP2,PNLIP,FAM3B,UBL3,WNT4,PPIC,CC2D1A,ODAM,PPP1CA,AUP1,LAMTOR1,TTC38,EPN3,ENOX1,THNSL2,PPY,PRG2,OTUB1,PRKAR2A,AXL,IL26,PRKCH,MYO5C,GNG12,PCDHGB5,GKN1,PRPH,PRRG2,LGMN,PRSS3,CCL28,PRSS8,IFNK,PSMA7,BDH2,SLC12A9,PSMC5,PSMD2,RAB25,CORO1B,PSME1,PTBP1,PTPRA,ACTA1,PTPRR,CXCL16,OPRPN,PZP,RAB3B,RAB4A,RAC3,PGAP6,ACE2,GNB4,RENBP,ACTB,RNASE1,NYX,BCR,RPL12,RPS11,RPS14,RS1,S100A9,S100A13,S100P,CELA2A,CLEC11A,SCNN1G,CCL2,CCL7,CCL17,CCL19,CCL20,CCL25,CXCL11,CX3CL1,SELE,SEMG1,SEMG2,XYLT1,IRF2BPL,SFRP4,SIL1,SFTPB,SGSH,SHBG,SHMT1,SLC1A5,SLC2A1,BMP4,SLC4A1,SLC5A2,SLC12A3,SLC15A2,SPINK1,BPI,SPTBN1,SPTBN2,SRPRA,ST13,STAU1,STK11,SULT2B1,BST1,BTC,BTD,TALDO1,TARS1,TCN1,TDGF1,TFF1,TFPI,TG,TGFBI,THBS1,TIMP3,SERPING1,TNFAIP6,C1QC,C1S,C3,INS-IGF2,TST,C5,MUC5B,C6,TXNRD1,UBA1,UBE2V2,VEGFB,VEGFC,VIL1,VTN,YWHAB,ZP3,SEMA3B,CAD,C1orf116,APOO,CRELD2,STEAP4,VPS37B,THSD4,CUBN,LPAL2,WNT5B,NECTIN4,MIA,CAMP,CLTCL1,CAPG,CAPN1,CAPZA1,H3-4,CAPZB,SH3BGRL3,H3C6,H3C12,H3C2,H4C4,H4C2,FERMT3,INHBE,RAB34,BBOX1,CYSTM1,GNPTG,SPINK7,CILP,ABHD14B,FIBCD1,H2BC12,BCAS1,FCN3,TNFSF11,NPFF,CHRD,EIF3B,SERPINB7,TNFSF14,TNFSF13,TNFSF12,DLK1,SCEL,IQGAP1,CCN5,PROZ,SQSTM1,CPNE3,ACTN3,SERPINB12,TNFSF18,KALRN,ANGPTL1,CD1A,CD1B,CD1E,C11orf52,CD5L,ADGRG1,DMKN,PTER,RPL23,SLC22A6,CPNE6,KIF3B,SLC22A13,CD101,SYAP1,LY86,ADAMTS4,CD37,TMEM59,ENTPD2,CD44,TNFSF15,FGFBP1
